sku_id,product_name,category,unit_price
SKU001,Product 001,Electronics,137.5
SKU002,Product 002,Furniture,175.0
SKU003,Product 003,Accessories,212.5
SKU004,Product 004,Stationery,250.0
SKU005,Product 005,Home,287.5
SKU006,Product 006,Electronics,325.0
SKU007,Product 007,Furniture,362.5
SKU008,Product 008,Accessories,400.0
SKU009,Product 009,Stationery,437.5
SKU010,Product 010,Home,475.0
SKU011,Product 011,Electronics,512.5
SKU012,Product 012,Furniture,550.0
SKU013,Product 013,Accessories,587.5
SKU014,Product 014,Stationery,625.0
SKU015,Product 015,Home,662.5
SKU016,Product 016,Electronics,700.0
SKU017,Product 017,Furniture,737.5
SKU018,Product 018,Accessories,775.0
SKU019,Product 019,Stationery,812.5
SKU020,Product 020,Home,850.0
SKU021,Product 021,Electronics,887.5
SKU022,Product 022,Furniture,925.0
SKU023,Product 023,Accessories,962.5
SKU024,Product 024,Stationery,1000.0
SKU025,Product 025,Home,1037.5
SKU026,Product 026,Electronics,1075.0
SKU027,Product 027,Furniture,1112.5
SKU028,Product 028,Accessories,1150.0
SKU029,Product 029,Stationery,1187.5
SKU030,Product 030,Home,1225.0
SKU031,Product 031,Electronics,1262.5
SKU032,Product 032,Furniture,1300.0
SKU033,Product 033,Accessories,1337.5
SKU034,Product 034,Stationery,1375.0
SKU035,Product 035,Home,1412.5
SKU036,Product 036,Electronics,1450.0
SKU037,Product 037,Furniture,1487.5
SKU038,Product 038,Accessories,1525.0
SKU039,Product 039,Stationery,1562.5
SKU040,Product 040,Home,1600.0
SKU041,Product 041,Electronics,1637.5
SKU042,Product 042,Furniture,1675.0
SKU043,Product 043,Accessories,1712.5
SKU044,Product 044,Stationery,1750.0
SKU045,Product 045,Home,1787.5
SKU046,Product 046,Electronics,1825.0
SKU047,Product 047,Furniture,1862.5
SKU048,Product 048,Accessories,1900.0
SKU049,Product 049,Stationery,1937.5
SKU050,Product 050,Home,1975.0
