date,sku_id,category,region,quantity_sold
2025-01-01,SKU001,Electronics,South,175
2025-02-01,SKU001,Electronics,South,201
2025-03-01,SKU001,Electronics,South,211
2025-04-01,SKU001,Electronics,South,229
2025-05-01,SKU001,Electronics,South,203
2025-06-01,SKU001,Electronics,South,209
2025-07-01,SKU001,Electronics,South,180
2025-08-01,SKU001,Electronics,South,191
2025-09-01,SKU001,Electronics,South,198
2025-10-01,SKU001,Electronics,South,182
2025-11-01,SKU001,Electronics,South,200
2025-12-01,SKU001,Electronics,South,209
2025-01-01,SKU002,Furniture,North,486
2025-02-01,SKU002,Furniture,North,522
2025-03-01,SKU002,Furniture,North,550
2025-04-01,SKU002,Furniture,North,564
2025-05-01,SKU002,Furniture,North,547
2025-06-01,SKU002,Furniture,North,581
2025-07-01,SKU002,Furniture,North,562
2025-08-01,SKU002,Furniture,North,516
2025-09-01,SKU002,Furniture,North,517
2025-10-01,SKU002,Furniture,North,515
2025-11-01,SKU002,Furniture,North,532
2025-12-01,SKU002,Furniture,North,546
2025-01-01,SKU003,Grocery,West,236
2025-02-01,SKU003,Grocery,West,290
2025-03-01,SKU003,Grocery,West,287
2025-04-01,SKU003,Grocery,West,300
2025-05-01,SKU003,Grocery,West,303
2025-06-01,SKU003,Grocery,West,303
2025-07-01,SKU003,Grocery,West,281
2025-08-01,SKU003,Grocery,West,275
2025-09-01,SKU003,Grocery,West,270
2025-10-01,SKU003,Grocery,West,278
2025-11-01,SKU003,Grocery,West,277
2025-12-01,SKU003,Grocery,West,294
2025-01-01,SKU004,Clothing,East,458
2025-02-01,SKU004,Clothing,East,520
2025-03-01,SKU004,Clothing,East,525
2025-04-01,SKU004,Clothing,East,529
2025-05-01,SKU004,Clothing,East,556
2025-06-01,SKU004,Clothing,East,522
2025-07-01,SKU004,Clothing,East,523
2025-08-01,SKU004,Clothing,East,480
2025-09-01,SKU004,Clothing,East,477
2025-10-01,SKU004,Clothing,East,496
2025-11-01,SKU004,Clothing,East,519
2025-12-01,SKU004,Clothing,East,541
2025-01-01,SKU005,Home,South,301
2025-02-01,SKU005,Home,South,315
2025-03-01,SKU005,Home,South,338
2025-04-01,SKU005,Home,South,351
2025-05-01,SKU005,Home,South,373
2025-06-01,SKU005,Home,South,352
2025-07-01,SKU005,Home,South,330
2025-08-01,SKU005,Home,South,323
2025-09-01,SKU005,Home,South,300
2025-10-01,SKU005,Home,South,300
2025-11-01,SKU005,Home,South,300
2025-12-01,SKU005,Home,South,324
2025-01-01,SKU006,Electronics,North,227
2025-02-01,SKU006,Electronics,North,241
2025-03-01,SKU006,Electronics,North,233
2025-04-01,SKU006,Electronics,North,247
2025-05-01,SKU006,Electronics,North,256
2025-06-01,SKU006,Electronics,North,260
2025-07-01,SKU006,Electronics,North,235
2025-08-01,SKU006,Electronics,North,231
2025-09-01,SKU006,Electronics,North,215
2025-10-01,SKU006,Electronics,North,214
2025-11-01,SKU006,Electronics,North,245
2025-12-01,SKU006,Electronics,North,265
2025-01-01,SKU007,Furniture,West,102
2025-02-01,SKU007,Furniture,West,121
2025-03-01,SKU007,Furniture,West,141
2025-04-01,SKU007,Furniture,West,142
2025-05-01,SKU007,Furniture,West,152
2025-06-01,SKU007,Furniture,West,136
2025-07-01,SKU007,Furniture,West,168
2025-08-01,SKU007,Furniture,West,112
2025-09-01,SKU007,Furniture,West,116
2025-10-01,SKU007,Furniture,West,120
2025-11-01,SKU007,Furniture,West,108
2025-12-01,SKU007,Furniture,West,145
2025-01-01,SKU008,Grocery,East,166
2025-02-01,SKU008,Grocery,East,193
2025-03-01,SKU008,Grocery,East,208
2025-04-01,SKU008,Grocery,East,231
2025-05-01,SKU008,Grocery,East,225
2025-06-01,SKU008,Grocery,East,212
2025-07-01,SKU008,Grocery,East,200
2025-08-01,SKU008,Grocery,East,200
2025-09-01,SKU008,Grocery,East,178
2025-10-01,SKU008,Grocery,East,182
2025-11-01,SKU008,Grocery,East,174
2025-12-01,SKU008,Grocery,East,200
2025-01-01,SKU009,Clothing,South,420
2025-02-01,SKU009,Clothing,South,460
2025-03-01,SKU009,Clothing,South,465
2025-04-01,SKU009,Clothing,South,485
2025-05-01,SKU009,Clothing,South,487
2025-06-01,SKU009,Clothing,South,466
2025-07-01,SKU009,Clothing,South,473
2025-08-01,SKU009,Clothing,South,457
2025-09-01,SKU009,Clothing,South,444
2025-10-01,SKU009,Clothing,South,442
2025-11-01,SKU009,Clothing,South,442
2025-12-01,SKU009,Clothing,South,481
2025-01-01,SKU010,Home,North,375
2025-02-01,SKU010,Home,North,404
2025-03-01,SKU010,Home,North,430
2025-04-01,SKU010,Home,North,443
2025-05-01,SKU010,Home,North,428
2025-06-01,SKU010,Home,North,461
2025-07-01,SKU010,Home,North,432
2025-08-01,SKU010,Home,North,418
2025-09-01,SKU010,Home,North,419
2025-10-01,SKU010,Home,North,397
2025-11-01,SKU010,Home,North,414
2025-12-01,SKU010,Home,North,453
2025-01-01,SKU011,Electronics,West,155
2025-02-01,SKU011,Electronics,West,170
2025-03-01,SKU011,Electronics,West,196
2025-04-01,SKU011,Electronics,West,169
2025-05-01,SKU011,Electronics,West,192
2025-06-01,SKU011,Electronics,West,208
2025-07-01,SKU011,Electronics,West,203
2025-08-01,SKU011,Electronics,West,150
2025-09-01,SKU011,Electronics,West,160
2025-10-01,SKU011,Electronics,West,172
2025-11-01,SKU011,Electronics,West,160
2025-12-01,SKU011,Electronics,West,177
2025-01-01,SKU012,Furniture,East,390
2025-02-01,SKU012,Furniture,East,383
2025-03-01,SKU012,Furniture,East,429
2025-04-01,SKU012,Furniture,East,461
2025-05-01,SKU012,Furniture,East,426
2025-06-01,SKU012,Furniture,East,424
2025-07-01,SKU012,Furniture,East,419
2025-08-01,SKU012,Furniture,East,398
2025-09-01,SKU012,Furniture,East,377
2025-10-01,SKU012,Furniture,East,397
2025-11-01,SKU012,Furniture,East,396
2025-12-01,SKU012,Furniture,East,438
2025-01-01,SKU013,Grocery,South,501
2025-02-01,SKU013,Grocery,South,502
2025-03-01,SKU013,Grocery,South,566
2025-04-01,SKU013,Grocery,South,589
2025-05-01,SKU013,Grocery,South,572
2025-06-01,SKU013,Grocery,South,581
2025-07-01,SKU013,Grocery,South,578
2025-08-01,SKU013,Grocery,South,542
2025-09-01,SKU013,Grocery,South,518
2025-10-01,SKU013,Grocery,South,520
2025-11-01,SKU013,Grocery,South,544
2025-12-01,SKU013,Grocery,South,579
2025-01-01,SKU014,Clothing,North,444
2025-02-01,SKU014,Clothing,North,477
2025-03-01,SKU014,Clothing,North,489
2025-04-01,SKU014,Clothing,North,537
2025-05-01,SKU014,Clothing,North,541
2025-06-01,SKU014,Clothing,North,507
2025-07-01,SKU014,Clothing,North,509
2025-08-01,SKU014,Clothing,North,500
2025-09-01,SKU014,Clothing,North,477
2025-10-01,SKU014,Clothing,North,486
2025-11-01,SKU014,Clothing,North,493
2025-12-01,SKU014,Clothing,North,505
2025-01-01,SKU015,Home,West,391
2025-02-01,SKU015,Home,West,416
2025-03-01,SKU015,Home,West,424
2025-04-01,SKU015,Home,West,453
2025-05-01,SKU015,Home,West,473
2025-06-01,SKU015,Home,West,440
2025-07-01,SKU015,Home,West,424
2025-08-01,SKU015,Home,West,435
2025-09-01,SKU015,Home,West,420
2025-10-01,SKU015,Home,West,450
2025-11-01,SKU015,Home,West,411
2025-12-01,SKU015,Home,West,459
2025-01-01,SKU016,Electronics,East,236
2025-02-01,SKU016,Electronics,East,258
2025-03-01,SKU016,Electronics,East,271
2025-04-01,SKU016,Electronics,East,286
2025-05-01,SKU016,Electronics,East,278
2025-06-01,SKU016,Electronics,East,291
2025-07-01,SKU016,Electronics,East,262
2025-08-01,SKU016,Electronics,East,289
2025-09-01,SKU016,Electronics,East,259
2025-10-01,SKU016,Electronics,East,241
2025-11-01,SKU016,Electronics,East,247
2025-12-01,SKU016,Electronics,East,280
2025-01-01,SKU017,Furniture,South,278
2025-02-01,SKU017,Furniture,South,317
2025-03-01,SKU017,Furniture,South,342
2025-04-01,SKU017,Furniture,South,355
2025-05-01,SKU017,Furniture,South,349
2025-06-01,SKU017,Furniture,South,349
2025-07-01,SKU017,Furniture,South,360
