date,quantity_sold
2011-01-29,32631
2011-01-30,31749
2011-01-31,23783
2011-02-01,25412
2011-02-02,19146
2011-02-03,29211
2011-02-04,28010
2011-02-05,37932
2011-02-06,32736
2011-02-07,25572
2011-02-08,23071
2011-02-09,23658
2011-02-10,23756
2011-02-11,26445
2011-02-12,34833
2011-02-13,36380
2011-02-14,21804
2011-02-15,24070
2011-02-16,21443
2011-02-17,20318
2011-02-18,23721
2011-02-19,31689
2011-02-20,29283
2011-02-21,23966
2011-02-22,20501
2011-02-23,20757
2011-02-24,20277
2011-02-25,22529
2011-02-26,29908
2011-02-27,28707
2011-02-28,21240
2011-03-01,22872
2011-03-02,22046
2011-03-03,23475
2011-03-04,23572
2011-03-05,31202
2011-03-06,34876
2011-03-07,24562
2011-03-08,22752
2011-03-09,22560
2011-03-10,22626
2011-03-11,25572
2011-03-12,32225
2011-03-13,31417
2011-03-14,24935
2011-03-15,24021
2011-03-16,22765
2011-03-17,21779
2011-03-18,23855
2011-03-19,30599
2011-03-20,29643
2011-03-21,23101
2011-03-22,20492
2011-03-23,19230
2011-03-24,18854
2011-03-25,23350
2011-03-26,29620
2011-03-27,29866
2011-03-28,21449
2011-03-29,19581
2011-03-30,18928
2011-03-31,21742
2011-04-01,28309
2011-04-02,33478
2011-04-03,33058
2011-04-04,24852
2011-04-05,23581
2011-04-06,22656
2011-04-07,22901
2011-04-08,24754
2011-04-09,31745
2011-04-10,31536
2011-04-11,24829
2011-04-12,23218
2011-04-13,21611
2011-04-14,21964
2011-04-15,25482
2011-04-16,29234
2011-04-17,29787
2011-04-18,22389
2011-04-19,19474
2011-04-20,20188
2011-04-21,19768
2011-04-22,24279
2011-04-23,29575
2011-04-24,24018
2011-04-25,20004
2011-04-26,18113
2011-04-27,17929
2011-04-28,18145
2011-04-29,22735
2011-04-30,28101
2011-05-01,29045
2011-05-02,22837
2011-05-03,24080
2011-05-04,20761
2011-05-05,21184
2011-05-06,24486
2011-05-07,28412
2011-05-08,23688
2011-05-09,25024
2011-05-10,22231
2011-05-11,22165
2011-05-12,22413
2011-05-13,25648
2011-05-14,28736
2011-05-15,31320
2011-05-16,22213
2011-05-17,19613
2011-05-18,18770
2011-05-19,18684
2011-05-20,21649
2011-05-21,27112
2011-05-22,26246
2011-05-23,20954
2011-05-24,19203
2011-05-25,19058
2011-05-26,20480
2011-05-27,22481
2011-05-28,25527
2011-05-29,23449
2011-05-30,22538
2011-05-31,19555
2011-06-01,23165
2011-06-02,22681
2011-06-03,26781
2011-06-04,30310
2011-06-05,31604
2011-06-06,26685
2011-06-07,25089
2011-06-08,24453
2011-06-09,24782
2011-06-10,26419
2011-06-11,29940
2011-06-12,31094
2011-06-13,25752
2011-06-14,24155
2011-06-15,25258
2011-06-16,22706
2011-06-17,24712
2011-06-18,28825
2011-06-19,26106
2011-06-20,24261
2011-06-21,21810
2011-06-22,21401
2011-06-23,22780
2011-06-24,24638
2011-06-25,26482
2011-06-26,27668
2011-06-27,22642
2011-06-28,19800
2011-06-29,19930
2011-06-30,21451
2011-07-01,31033
2011-07-02,33001
2011-07-03,29173
2011-07-04,23033
2011-07-05,26596
2011-07-06,26602
2011-07-07,26727
2011-07-08,27679
2011-07-09,32486
2011-07-10,31539
2011-07-11,26592
2011-07-12,24632
2011-07-13,23445
2011-07-14,23447
2011-07-15,27349
2011-07-16,30869
2011-07-17,30334
2011-07-18,24639
2011-07-19,21931
2011-07-20,22487
2011-07-21,22778
2011-07-22,26356
2011-07-23,30284
2011-07-24,28799
2011-07-25,22895
2011-07-26,21195
2011-07-27,20504
2011-07-28,21243
2011-07-29,24542
2011-07-30,28953
2011-07-31,28677
2011-08-01,26607
2011-08-02,25475
2011-08-03,27237
2011-08-04,23713
2011-08-05,26594
2011-08-06,31959
2011-08-07,32006
2011-08-08,26354
2011-08-09,26213
2011-08-10,24578
2011-08-11,24708
2011-08-12,28544
2011-08-13,33003
2011-08-14,33909
2011-08-15,28511
2011-08-16,25266
2011-08-17,23681
2011-08-18,23376
2011-08-19,27004
2011-08-20,32258
2011-08-21,33973
2011-08-22,25324
2011-08-23,22617
2011-08-24,21935
2011-08-25,21414
2011-08-26,24268
2011-08-27,30383
2011-08-28,30626
2011-08-29,22085
2011-08-30,20350
2011-08-31,21723
2011-09-01,26299
2011-09-02,29208
2011-09-03,34032
2011-09-04,26925
2011-09-05,30158
2011-09-06,26134
2011-09-07,24445
2011-09-08,24048
2011-09-09,28246
2011-09-10,33030
2011-09-11,34632
2011-09-12,26138
2011-09-13,24645
2011-09-14,23505
2011-09-15,26343
2011-09-16,26933
2011-09-17,32195
2011-09-18,32034
2011-09-19,24367
2011-09-20,22675
2011-09-21,21796
2011-09-22,21859
2011-09-23,26706
2011-09-24,32466
2011-09-25,33228
2011-09-26,24090
2011-09-27,22788
2011-09-28,22193
2011-09-29,22383
2011-09-30,30182
2011-10-01,39312
2011-10-02,37214
2011-10-03,30455
2011-10-04,26114
2011-10-05,25913
2011-10-06,26066
2011-10-07,29985
2011-10-08,35930
2011-10-09,35940
2011-10-10,29401
2011-10-11,27427
2011-10-12,27414
2011-10-13,26116
2011-10-14,29885
2011-10-15,38426
2011-10-16,36127
2011-10-17,27592
2011-10-18,24202
2011-10-19,22441
2011-10-20,22402
2011-10-21,27130
2011-10-22,33151
2011-10-23,32876
2011-10-24,24516
2011-10-25,22437
2011-10-26,22142
2011-10-27,22982
2011-10-28,26880
2011-10-29,33219
2011-10-30,31853
2011-10-31,22695
2011-11-01,26039
2011-11-02,24808
2011-11-03,27902
2011-11-04,28596
2011-11-05,36887
2011-11-06,37887
2011-11-07,27278
2011-11-08,25188
2011-11-09,26092
2011-11-10,26147
2011-11-11,29755
2011-11-12,35922
2011-11-13,35348
2011-11-14,26773
2011-11-15,26701
2011-11-16,23928
2011-11-17,23114
2011-11-18,26507
2011-11-19,33545
2011-11-20,32753
2011-11-21,25574
2011-11-22,25654
2011-11-23,30787
2011-11-24,18427
2011-11-25,23998
2011-11-26,25292
2011-11-27,27134
2011-11-28,22378
2011-11-29,21584
2011-11-30,21089
2011-12-01,26268
2011-12-02,29727
2011-12-03,38129
2011-12-04,35078
2011-12-05,29220
2011-12-06,27267
2011-12-07,25453
2011-12-08,26347
2011-12-09,29438
2011-12-10,34786
2011-12-11,35743
2011-12-12,29151
2011-12-13,26913
2011-12-14,26794
2011-12-15,29644
2011-12-16,28885
2011-12-17,34159
2011-12-18,32087
2011-12-19,27068
2011-12-20,26262
2011-12-21,26662
2011-12-22,28182
2011-12-23,34646
2011-12-24,29958
2011-12-25,13
2011-12-26,28032
2011-12-27,24651
2011-12-28,24791
2011-12-29,24541
2011-12-30,33652
2011-12-31,33751
2012-01-01,21807
2012-01-02,33053
2012-01-03,28751
2012-01-04,25821
2012-01-05,28499
2012-01-06,30405
2012-01-07,37143
2012-01-08,36722
2012-01-09,28206
2012-01-10,26640
2012-01-11,29044
2012-01-12,24715
2012-01-13,29463
2012-01-14,36815
2012-01-15,36459
2012-01-16,30548
2012-01-17,22187
2012-01-18,25348
2012-01-19,24034
2012-01-20,27204
2012-01-21,38578
2012-01-22,32587
2012-01-23,24702
2012-01-24,23549
2012-01-25,22408
2012-01-26,23237
2012-01-27,27199
2012-01-28,34362
2012-01-29,33577
2012-01-30,25188
2012-01-31,25124
2012-02-01,29851
2012-02-02,28615
2012-02-03,35104
2012-02-04,43029
2012-02-05,40075
2012-02-06,30681
2012-02-07,28108
2012-02-08,28579
2012-02-09,29927
2012-02-10,29863
2012-02-11,41757
2012-02-12,41904
2012-02-13,31675
2012-02-14,25100
2012-02-15,26878
2012-02-16,25195
2012-02-17,27604
2012-02-18,36622
2012-02-19,36338
2012-02-20,30218
2012-02-21,25190
2012-02-22,24115
2012-02-23,25211
2012-02-24,27870
2012-02-25,35769
2012-02-26,36281
2012-02-27,27270
2012-02-28,24359
2012-02-29,24802
2012-03-01,30232
2012-03-02,32543
2012-03-03,41319
2012-03-04,40325
2012-03-05,32703
2012-03-06,31532
2012-03-07,28608
2012-03-08,29759
2012-03-09,32322
2012-03-10,39559
2012-03-11,40612
2012-03-12,32501
2012-03-13,29100
2012-03-14,27841
2012-03-15,30752
2012-03-16,30951
2012-03-17,37904
2012-03-18,37694
2012-03-19,29187
2012-03-20,25533
2012-03-21,26227
2012-03-22,26015
2012-03-23,29055
2012-03-24,37089
2012-03-25,37843
2012-03-26,27182
2012-03-27,24649
2012-03-28,24783
2012-03-29,23879
2012-03-30,30732
2012-03-31,38463
2012-04-01,39783
2012-04-02,31359
2012-04-03,33033
2012-04-04,28318
2012-04-05,31368
2012-04-06,37545
2012-04-07,45638
2012-04-08,36210
2012-04-09,31993
2012-04-10,28800
2012-04-11,29575
2012-04-12,28568
2012-04-13,31938
2012-04-14,38546
2012-04-15,38707
2012-04-16,27672
2012-04-17,26067
2012-04-18,24699
2012-04-19,24824
2012-04-20,28143
2012-04-21,36708
2012-04-22,36764
2012-04-23,26670
2012-04-24,24848
2012-04-25,24448
2012-04-26,24530
2012-04-27,28977
2012-04-28,35647
2012-04-29,36124
2012-04-30,27356
2012-05-01,30290
2012-05-02,29239
2012-05-03,32959
2012-05-04,32932
2012-05-05,39201
2012-05-06,41529
2012-05-07,33477
2012-05-08,30433
2012-05-09,30204
2012-05-10,28164
2012-05-11,32814
2012-05-12,40872
2012-05-13,33769
2012-05-14,31583
2012-05-15,31758
2012-05-16,28677
2012-05-17,27323
2012-05-18,32311
2012-05-19,37929
2012-05-20,39514
2012-05-21,28805
2012-05-22,27502
2012-05-23,26623
2012-05-24,27963
2012-05-25,32797
2012-05-26,37239
2012-05-27,33853
2012-05-28,33407
2012-05-29,28620
2012-05-30,27150
2012-05-31,28809
2012-06-01,39529
2012-06-02,44943
2012-06-03,43910
2012-06-04,33294
2012-06-05,34006
2012-06-06,33587
2012-06-07,32535
2012-06-08,36901
2012-06-09,43309
2012-06-10,44944
2012-06-11,39636
2012-06-12,35074
2012-06-13,32930
2012-06-14,33782
2012-06-15,41798
2012-06-16,44438
2012-06-17,39039
2012-06-18,34100
2012-06-19,31967
2012-06-20,31468
2012-06-21,30764
2012-06-22,36477
2012-06-23,40010
2012-06-24,40509
2012-06-25,31847
2012-06-26,29371
2012-06-27,28885
2012-06-28,29585
2012-06-29,36377
2012-06-30,40594
2012-07-01,40699
2012-07-02,35863
2012-07-03,39542
2012-07-04,32656
2012-07-05,34408
2012-07-06,39991
2012-07-07,41431
2012-07-08,42672
2012-07-09,35770
2012-07-10,32587
2012-07-11,33072
2012-07-12,33077
2012-07-13,36582
2012-07-14,42348
2012-07-15,43689
2012-07-16,33020
2012-07-17,30418
2012-07-18,28916
2012-07-19,30864
2012-07-20,35402
2012-07-21,39544
2012-07-22,39952
2012-07-23,30864
2012-07-24,29479
2012-07-25,28354
2012-07-26,28538
2012-07-27,31840
2012-07-28,34588
2012-07-29,36147
2012-07-30,28933
2012-07-31,29531
2012-08-01,33970
2012-08-02,35260
2012-08-03,39511
2012-08-04,41276
2012-08-05,43009
2012-08-06,37024
2012-08-07,32394
2012-08-08,32301
2012-08-09,35008
2012-08-10,36465
2012-08-11,44081
2012-08-12,45798
2012-08-13,36030
2012-08-14,34312
2012-08-15,35497
2012-08-16,34405
2012-08-17,35457
2012-08-18,41521
2012-08-19,43364
2012-08-20,32410
2012-08-21,30206
2012-08-22,28922
2012-08-23,28552
2012-08-24,33044
2012-08-25,39964
2012-08-26,41021
2012-08-27,31010
2012-08-28,28472
2012-08-29,27101
2012-08-30,28303
2012-08-31,37092
2012-09-01,44630
2012-09-02,42819
2012-09-03,44525
2012-09-04,31879
2012-09-05,31854
2012-09-06,32575
2012-09-07,34775
2012-09-08,43218
2012-09-09,46649
2012-09-10,32972
2012-09-11,32370
2012-09-12,31018
2012-09-13,30142
2012-09-14,36359
2012-09-15,45959
2012-09-16,44286
2012-09-17,31860
2012-09-18,29276
2012-09-19,27065
2012-09-20,28557
2012-09-21,33634
2012-09-22,41889
2012-09-23,41362
2012-09-24,29176
2012-09-25,27979
2012-09-26,26932
2012-09-27,27231
2012-09-28,32656
2012-09-29,40981
2012-09-30,39736
2012-10-01,34841
2012-10-02,33830
2012-10-03,34220
2012-10-04,30075
2012-10-05,34588
2012-10-06,44040
2012-10-07,41872
2012-10-08,33790
2012-10-09,32295
2012-10-10,29969
2012-10-11,29998
2012-10-12,35052
2012-10-13,42226
2012-10-14,42237
2012-10-15,33684
2012-10-16,27869
2012-10-17,27103
2012-10-18,26169
2012-10-19,29711
2012-10-20,36689
2012-10-21,36987
2012-10-22,26712
2012-10-23,25419
2012-10-24,24390
2012-10-25,24312
2012-10-26,31863
2012-10-27,38547
2012-10-28,37184
2012-10-29,27581
2012-10-30,28080
2012-10-31,24975
2012-11-01,31051
2012-11-02,35514
2012-11-03,45079
2012-11-04,42545
2012-11-05,33057
2012-11-06,30514
2012-11-07,29683
2012-11-08,30757
2012-11-09,35722
2012-11-10,42884
2012-11-11,43517
2012-11-12,33213
2012-11-13,28308
2012-11-14,27835
2012-11-15,29713
2012-11-16,31616
2012-11-17,40441
2012-11-18,37576
2012-11-19,29330
